score,tweet
0.00449720025062561,@mandyharvey Done :)
0.03710588812828064,"PS, I went to Sheffield, those hills :)"
0.07422152161598206,@pa79smyth @Barclays @BarclaysAccess Wonderful and so deserved! Congrats Paul!!!
0.08705317974090576,"@erichorvitz @merrierm @sigchi @MSFTResearch @TheOfficialACM @compcomcon @ComputerSociety Phenomenal news!!!! Congrats Merrie, so wonderfully deserved! "
0.1786615550518036,Absolutely love this article. Each story lives and breathes why we do this💖 
0.19148346781730652,"@slooterman Love this Sara! Congratulations, so so well deserved!"
0.20208266377449036,@mikegstowe @AmbassadorAwsum Thank you Mike! Really appreciate it.
0.21648433804512024,"Anyone needs an awesome plumber in Seattle area, let me know :) The End"
0.23200571537017822,Awesome news and so well deserved! Go Immersive Reader.. https://t.co/FXXqzJHcC4
0.23764866590499878,"@Juliedewidt @hminto @MicrosoftTeams @KerrieHolleman @accessgeo @JessicAccess Erm, I think @JessicAccess was talkin.. ;)"
