score,tweet
0.00029468536376953125,UGH! Eye pains! :( #blindgirlproblems
0.001040428876876831,I've been having so much pain in my eyes lately! :( UGH. #blindgirlproblems
0.006060808897018433,Oh the embarrassment...  #blindgirlstorytime #embarrassingmoments #awkward #growingup
0.012435108423233032,I just got denied access by an @Uber driver who refused to take me because I have a #guidedog.. not okay. #blindpeopleproblems #servicedog
0.01740589737892151,"Trips over family dog, smashes hand on doorframe. Yells in pain, #guidedog comes running. #ouch #blindgirlproblems #mylife #guidedoglife"
0.019532352685928345,When you step in your guide dogs slobber with bare feet.. #gross #ew #blindgirlproblems
0.02139824628829956,"Despite advertising DV, none of @CineplexMovies audio description devices were working. It was a miserable experience! :( #blindgirlproblems"
0.026211023330688477,I've spilt 3 time and kicked my laptop really hard... it's been a blind day. #blindgirlproblems
0.032015979290008545,Aaaand I burnt my thumb while straightening my hair.. #ouch #blindgirlproblems #blindgirlbeauty
0.0451851487159729,A woman tried to force me to feel her face last night... #blindgirlproblems #real #NYC #thathappened #wow #awkward
